"bibtype","author","title","journal","publisher","doi","url","fulltext","related","year","abstract","note","type"
"Article","Y Su and H Xia and Q Feng and W Liu and P Zhang and J Zhang and M Zhu and {...}","Climate-smart protected areas in drylands can effectively safeguard biodiversity without expanding boundaries","Land Use Policy","Elsevier","","https://www.sciencedirect.com/science/article/pii/S0264837725002571",NA,"https://scholar.google.com/scholar?q=related:50TzPDlFfk4J:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22habitat+connectivity%22%7C%22landscape+connectivity%22%7C%22conservation+corridors%22%7C%22ecological+corridors%22%7C%22functional+connectivity%22%7C%22connectivity+planning%22+%22biodiversity%22%7C%22ecosystem+services%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22pollination%22%7C%22population+viability%22%7C%22metapopulation+dynamics%22+%22climate+adaptation%22%7C%22climate+corridors%22%7C%22climate+refugia%22%7C%22range+shifts%22%7C%22species+redistribution%22%7C%22landscape+permeability%22+%22livelihoods%22%7C%22human+wellbeing%22%7C%22nature%27s+contributions+to+people%22%7C%22disaster+risk+reduction%22+%22invasive+species%22%7C%22outbreeding+depression%22%7C%22inbreeding+depression%22%7C%22genetic+swamping%22%7C%22zoonotic+disease%22%7C%22disease+spread%22%7C%22pathogen+transmission%22%7C%22wildlife+disease%22%7C%22human+wildlife+conflict%22%7C%22crop+damage%22%7C%22livestock+depredation%22%7C%22maladaptive+restoration%22%7C%22assisted+migration%22%7C%22climate+mismatch%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22systematic+review%22%7C%22review%22%7C%22meta+analysis%22%7C%22literature+review%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2025","… protection and ecosystem services. … biodiversity and ecosystem services within dryland protected areas may change over time under climate scenarios, while identifying climate refugia …","3 cites: https://scholar.google.com/scholar?cites=5656034294161949927\&as_sdt=2005\&sciodt=2007\&hl=en",NA
"Article","P Lawlor and JAG Cooper","Analysis of contemporary climate adaptation policies in Ireland and their application to the coastal zone","Ocean \&Coastal Management","Elsevier","","https://www.sciencedirect.com/science/article/pii/S0964569124003892",NA,"https://scholar.google.com/scholar?q=related:2f1J5YJVbNcJ:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22habitat+connectivity%22%7C%22landscape+connectivity%22%7C%22conservation+corridors%22%7C%22ecological+corridors%22%7C%22functional+connectivity%22%7C%22connectivity+planning%22+%22biodiversity%22%7C%22ecosystem+services%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22pollination%22%7C%22population+viability%22%7C%22metapopulation+dynamics%22+%22climate+adaptation%22%7C%22climate+corridors%22%7C%22climate+refugia%22%7C%22range+shifts%22%7C%22species+redistribution%22%7C%22landscape+permeability%22+%22livelihoods%22%7C%22human+wellbeing%22%7C%22nature%27s+contributions+to+people%22%7C%22disaster+risk+reduction%22+%22invasive+species%22%7C%22outbreeding+depression%22%7C%22inbreeding+depression%22%7C%22genetic+swamping%22%7C%22zoonotic+disease%22%7C%22disease+spread%22%7C%22pathogen+transmission%22%7C%22wildlife+disease%22%7C%22human+wildlife+conflict%22%7C%22crop+damage%22%7C%22livestock+depredation%22%7C%22maladaptive+restoration%22%7C%22assisted+migration%22%7C%22climate+mismatch%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22systematic+review%22%7C%22review%22%7C%22meta+analysis%22%7C%22literature+review%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2024","… This paper briefly reviews the European and Irish government policy context for sectoral climate adaptation before reviewing and classifying the sectoral policy measures introduced to …","3 cites: https://scholar.google.com/scholar?cites=15522876036320198105\&as_sdt=2005\&sciodt=2007\&hl=en",NA
"Article","LE Coristine and AL Jacob and R Schuster and SP Otto and NE Baron and {...}","Informing Canada's commitment to biodiversity conservation: A science-based framework to help guide protected areas designation through Target 1 and beyond","Facets","facetsjournal.com","10.1139/facets-2017-0102","https://www.facetsjournal.com/doi/abs/10.1139/facets-2017-0102","https://www.facetsjournal.com/doi/pdf/10.1139/facets-2017-0102?download=true","https://scholar.google.com/scholar?q=related:2GdLxuUyQqcJ:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22habitat+connectivity%22%7C%22landscape+connectivity%22%7C%22conservation+corridors%22%7C%22ecological+corridors%22%7C%22functional+connectivity%22%7C%22connectivity+planning%22+%22biodiversity%22%7C%22ecosystem+services%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22pollination%22%7C%22population+viability%22%7C%22metapopulation+dynamics%22+%22climate+adaptation%22%7C%22climate+corridors%22%7C%22climate+refugia%22%7C%22range+shifts%22%7C%22species+redistribution%22%7C%22landscape+permeability%22+%22livelihoods%22%7C%22human+wellbeing%22%7C%22nature%27s+contributions+to+people%22%7C%22disaster+risk+reduction%22+%22invasive+species%22%7C%22outbreeding+depression%22%7C%22inbreeding+depression%22%7C%22genetic+swamping%22%7C%22zoonotic+disease%22%7C%22disease+spread%22%7C%22pathogen+transmission%22%7C%22wildlife+disease%22%7C%22human+wildlife+conflict%22%7C%22crop+damage%22%7C%22livestock+depredation%22%7C%22maladaptive+restoration%22%7C%22assisted+migration%22%7C%22climate+mismatch%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22systematic+review%22%7C%22review%22%7C%22meta+analysis%22%7C%22literature+review%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2018","… to reversing biodiversity declines and ensuring biodiversity … , and (v) climate refugia. This spatially explicit assessment is … priority areas for connectivity planning. For example, at a …","70 cites: https://scholar.google.com/scholar?cites=12052251515252598744\&as_sdt=2005\&sciodt=2007\&hl=en",NA
"Article","CI Donatti and A Andrade and E Cohen-Shacham and G Fedele and {...}","Ensuring that nature-based solutions for climate mitigation address multiple global challenges","One Earth","cell.com","","https://www.cell.com/one-earth/fulltext/S2590-3322(22)00211-1","https://www.cell.com/one-earth/fulltext/S2590-3322(22)00211-1","https://scholar.google.com/scholar?q=related:qPbjpfXCc08J:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22habitat+connectivity%22%7C%22landscape+connectivity%22%7C%22conservation+corridors%22%7C%22ecological+corridors%22%7C%22functional+connectivity%22%7C%22connectivity+planning%22+%22biodiversity%22%7C%22ecosystem+services%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22pollination%22%7C%22population+viability%22%7C%22metapopulation+dynamics%22+%22climate+adaptation%22%7C%22climate+corridors%22%7C%22climate+refugia%22%7C%22range+shifts%22%7C%22species+redistribution%22%7C%22landscape+permeability%22+%22livelihoods%22%7C%22human+wellbeing%22%7C%22nature%27s+contributions+to+people%22%7C%22disaster+risk+reduction%22+%22invasive+species%22%7C%22outbreeding+depression%22%7C%22inbreeding+depression%22%7C%22genetic+swamping%22%7C%22zoonotic+disease%22%7C%22disease+spread%22%7C%22pathogen+transmission%22%7C%22wildlife+disease%22%7C%22human+wildlife+conflict%22%7C%22crop+damage%22%7C%22livestock+depredation%22%7C%22maladaptive+restoration%22%7C%22assisted+migration%22%7C%22climate+mismatch%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22systematic+review%22%7C%22review%22%7C%22meta+analysis%22%7C%22literature+review%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2022","… that those types of solutions also provide climate adaptation, biodiversity, and/or human well… species, (2) potential for ecological corridors or buffer zones that link protected areas, …","43 cites: https://scholar.google.com/scholar?cites=5725133911623988904\&as_sdt=2005\&sciodt=2007\&hl=en","HTML"
"Article","P Oana-Cătălina and {...}","COMPLETING THE URBAN GREEN INFRASTRUCTURE WITH GREEN AREAS RELATED TO PUBLIC FACILITIES.","Oltenia, Studii …","…","","http://olteniastudiisicomunicaristiintelenaturii.ro/cont/40_1/IV.%20ECOLOGY%20-%20THE%20ENVIRONMENT%20PROTECTION/26.%20Petrisor%20et%20al..pdf","http://olteniastudiisicomunicaristiintelenaturii.ro/cont/40_1/IV.%20ECOLOGY%20-%20THE%20ENVIRONMENT%20PROTECTION/26.%20Petrisor%20et%20al..pdf","https://scholar.google.com/scholar?q=related:uPOCZT02bVoJ:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22habitat+connectivity%22%7C%22landscape+connectivity%22%7C%22conservation+corridors%22%7C%22ecological+corridors%22%7C%22functional+connectivity%22%7C%22connectivity+planning%22+%22biodiversity%22%7C%22ecosystem+services%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22pollination%22%7C%22population+viability%22%7C%22metapopulation+dynamics%22+%22climate+adaptation%22%7C%22climate+corridors%22%7C%22climate+refugia%22%7C%22range+shifts%22%7C%22species+redistribution%22%7C%22landscape+permeability%22+%22livelihoods%22%7C%22human+wellbeing%22%7C%22nature%27s+contributions+to+people%22%7C%22disaster+risk+reduction%22+%22invasive+species%22%7C%22outbreeding+depression%22%7C%22inbreeding+depression%22%7C%22genetic+swamping%22%7C%22zoonotic+disease%22%7C%22disease+spread%22%7C%22pathogen+transmission%22%7C%22wildlife+disease%22%7C%22human+wildlife+conflict%22%7C%22crop+damage%22%7C%22livestock+depredation%22%7C%22maladaptive+restoration%22%7C%22assisted+migration%22%7C%22climate+mismatch%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22systematic+review%22%7C%22review%22%7C%22meta+analysis%22%7C%22literature+review%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2024","… biodiversity conservation, achieving ecological connectivity and the provision of important ecosystem services… soil, water, air quality, pollination and climate adaptation) and bring similar …","Query date: 2026-01-22 12:33:10","PDF"
"Article","D Geneletti and C Cortinovis and L Zardo and {...}","Reviewing ecosystem services in urban climate adaptation plans","… for ecosystem services in …","Springer","10.1007/978-3-030-20024-4_3","https://link.springer.com/chapter/10.1007/978-3-030-20024-4_3","https://link.springer.com/chapter/10.1007/978-3-030-20024-4_3","https://scholar.google.com/scholar?q=related:G5jHh1pEeyUJ:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22habitat+connectivity%22%7C%22landscape+connectivity%22%7C%22conservation+corridors%22%7C%22ecological+corridors%22%7C%22functional+connectivity%22%7C%22connectivity+planning%22+%22biodiversity%22%7C%22ecosystem+services%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22pollination%22%7C%22population+viability%22%7C%22metapopulation+dynamics%22+%22climate+adaptation%22%7C%22climate+corridors%22%7C%22climate+refugia%22%7C%22range+shifts%22%7C%22species+redistribution%22%7C%22landscape+permeability%22+%22livelihoods%22%7C%22human+wellbeing%22%7C%22nature%27s+contributions+to+people%22%7C%22disaster+risk+reduction%22+%22invasive+species%22%7C%22outbreeding+depression%22%7C%22inbreeding+depression%22%7C%22genetic+swamping%22%7C%22zoonotic+disease%22%7C%22disease+spread%22%7C%22pathogen+transmission%22%7C%22wildlife+disease%22%7C%22human+wildlife+conflict%22%7C%22crop+damage%22%7C%22livestock+depredation%22%7C%22maladaptive+restoration%22%7C%22assisted+migration%22%7C%22climate+mismatch%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22systematic+review%22%7C%22review%22%7C%22meta+analysis%22%7C%22literature+review%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2019","Abstracts In this chapter, we focus on one specific type of urban planning instrument, which has become increasingly common in the last years: urban climate adaptation plans. In these …","9 cites: https://scholar.google.com/scholar?cites=2700827557154494491\&as_sdt=2005\&sciodt=2007\&hl=en","HTML"
"Article","L Tao and Y Chen and F Chen and H Li","… network in Qingdao (Shandong, china) based on the combination of morphological spatial pattern analysis and biodiversity conservation function assessment","Sustainability","mdpi.com","","https://www.mdpi.com/2071-1050/15/24/16579","https://www.mdpi.com/2071-1050/15/24/16579","https://scholar.google.com/scholar?q=related:32tFch6VhWgJ:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22habitat+connectivity%22%7C%22landscape+connectivity%22%7C%22conservation+corridors%22%7C%22ecological+corridors%22%7C%22functional+connectivity%22%7C%22connectivity+planning%22+%22biodiversity%22%7C%22ecosystem+services%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22pollination%22%7C%22population+viability%22%7C%22metapopulation+dynamics%22+%22climate+adaptation%22%7C%22climate+corridors%22%7C%22climate+refugia%22%7C%22range+shifts%22%7C%22species+redistribution%22%7C%22landscape+permeability%22+%22livelihoods%22%7C%22human+wellbeing%22%7C%22nature%27s+contributions+to+people%22%7C%22disaster+risk+reduction%22+%22invasive+species%22%7C%22outbreeding+depression%22%7C%22inbreeding+depression%22%7C%22genetic+swamping%22%7C%22zoonotic+disease%22%7C%22disease+spread%22%7C%22pathogen+transmission%22%7C%22wildlife+disease%22%7C%22human+wildlife+conflict%22%7C%22crop+damage%22%7C%22livestock+depredation%22%7C%22maladaptive+restoration%22%7C%22assisted+migration%22%7C%22climate+mismatch%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22systematic+review%22%7C%22review%22%7C%22meta+analysis%22%7C%22literature+review%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2023","… urban and rural landscape connectivity are effective ways to improve urban biodiversity and … analysis (MSPA) combined with a biodiversity conservation function assessment, with the …","8 cites: https://scholar.google.com/scholar?cites=7531589909845732319\&as_sdt=2005\&sciodt=2007\&hl=en","HTML"
"Article","J Duan and Y Cao and B Liu and Y Liang and J Tu and J Wang and Y Li","Construction of an Ecological Security Pattern in Yangtze River Delta Based on Circuit Theory","Sustainability","mdpi.com","","https://www.mdpi.com/2071-1050/15/16/12374","https://www.mdpi.com/2071-1050/15/16/12374","https://scholar.google.com/scholar?q=related:Tj4-InLASiAJ:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22habitat+connectivity%22%7C%22landscape+connectivity%22%7C%22conservation+corridors%22%7C%22ecological+corridors%22%7C%22functional+connectivity%22%7C%22connectivity+planning%22+%22biodiversity%22%7C%22ecosystem+services%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22pollination%22%7C%22population+viability%22%7C%22metapopulation+dynamics%22+%22climate+adaptation%22%7C%22climate+corridors%22%7C%22climate+refugia%22%7C%22range+shifts%22%7C%22species+redistribution%22%7C%22landscape+permeability%22+%22livelihoods%22%7C%22human+wellbeing%22%7C%22nature%27s+contributions+to+people%22%7C%22disaster+risk+reduction%22+%22invasive+species%22%7C%22outbreeding+depression%22%7C%22inbreeding+depression%22%7C%22genetic+swamping%22%7C%22zoonotic+disease%22%7C%22disease+spread%22%7C%22pathogen+transmission%22%7C%22wildlife+disease%22%7C%22human+wildlife+conflict%22%7C%22crop+damage%22%7C%22livestock+depredation%22%7C%22maladaptive+restoration%22%7C%22assisted+migration%22%7C%22climate+mismatch%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22systematic+review%22%7C%22review%22%7C%22meta+analysis%22%7C%22literature+review%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2023","… reserves, ignoring ecosystem services. In this study, a novel approach to building ecological corridors is put forth that takes into account a variety of ecosystem services, morphological …","11 cites: https://scholar.google.com/scholar?cites=2326883753923591758\&as_sdt=2005\&sciodt=2007\&hl=en","HTML"
"Article","CB {van Rees} and S Jumani and L Abera and L Rack and SK McKay and {...}","The potential for nature-based solutions to combat the freshwater biodiversity crisis","PLoS Water","journals.plos.org","","https://journals.plos.org/water/article?id=10.1371/journal.pwat.0000126","https://journals.plos.org/water/article?id=10.1371/journal.pwat.0000126","https://scholar.google.com/scholar?q=related:JjBdSV8m-fQJ:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22habitat+connectivity%22%7C%22landscape+connectivity%22%7C%22conservation+corridors%22%7C%22ecological+corridors%22%7C%22functional+connectivity%22%7C%22connectivity+planning%22+%22biodiversity%22%7C%22ecosystem+services%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22pollination%22%7C%22population+viability%22%7C%22metapopulation+dynamics%22+%22climate+adaptation%22%7C%22climate+corridors%22%7C%22climate+refugia%22%7C%22range+shifts%22%7C%22species+redistribution%22%7C%22landscape+permeability%22+%22livelihoods%22%7C%22human+wellbeing%22%7C%22nature%27s+contributions+to+people%22%7C%22disaster+risk+reduction%22+%22invasive+species%22%7C%22outbreeding+depression%22%7C%22inbreeding+depression%22%7C%22genetic+swamping%22%7C%22zoonotic+disease%22%7C%22disease+spread%22%7C%22pathogen+transmission%22%7C%22wildlife+disease%22%7C%22human+wildlife+conflict%22%7C%22crop+damage%22%7C%22livestock+depredation%22%7C%22maladaptive+restoration%22%7C%22assisted+migration%22%7C%22climate+mismatch%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22systematic+review%22%7C%22review%22%7C%22meta+analysis%22%7C%22literature+review%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2023","… for biodiversity conservation while providing essential infrastructure and climate adaptation … to total habitat but also landscape connectivity could support biodiversity in urban wetlands. …","58 cites: https://scholar.google.com/scholar?cites=17652182405149962278\&as_sdt=2005\&sciodt=2007\&hl=en","HTML"
"Article","X Cheng and J Chen and Y Wang and R Bao and P Dai and {...}","Construction of a Composite Ecological Network Integrating Ecological Conservation and Climate Improvement in Yunnan Province","Available at SSRN …","papers.ssrn.com","","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5049885","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=5049885","https://scholar.google.com/scholar?q=related:uJEDc_KU3yIJ:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22habitat+connectivity%22%7C%22landscape+connectivity%22%7C%22conservation+corridors%22%7C%22ecological+corridors%22%7C%22functional+connectivity%22%7C%22connectivity+planning%22+%22biodiversity%22%7C%22ecosystem+services%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22pollination%22%7C%22population+viability%22%7C%22metapopulation+dynamics%22+%22climate+adaptation%22%7C%22climate+corridors%22%7C%22climate+refugia%22%7C%22range+shifts%22%7C%22species+redistribution%22%7C%22landscape+permeability%22+%22livelihoods%22%7C%22human+wellbeing%22%7C%22nature%27s+contributions+to+people%22%7C%22disaster+risk+reduction%22+%22invasive+species%22%7C%22outbreeding+depression%22%7C%22inbreeding+depression%22%7C%22genetic+swamping%22%7C%22zoonotic+disease%22%7C%22disease+spread%22%7C%22pathogen+transmission%22%7C%22wildlife+disease%22%7C%22human+wildlife+conflict%22%7C%22crop+damage%22%7C%22livestock+depredation%22%7C%22maladaptive+restoration%22%7C%22assisted+migration%22%7C%22climate+mismatch%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22systematic+review%22%7C%22review%22%7C%22meta+analysis%22%7C%22literature+review%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","","… biodiversity conservation[39]—by identifying and linking ""source"" areas to create 77 ecological corridors … and high landscape connectivity, were selected as climate-adaptation source …","Query date: 2026-01-22 12:33:10",NA
"Article","M Zhang and Y Cao and R Jiang and S Ding and H Li","Delineating and Mapping Green Infrastructure System in Large Cities: A Case Study of Wuhan City, China","papers.ssrn.com",NA,"","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5335522","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=5335522","https://scholar.google.com/scholar?q=related:n6pZTpXn-ooJ:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22habitat+connectivity%22%7C%22landscape+connectivity%22%7C%22conservation+corridors%22%7C%22ecological+corridors%22%7C%22functional+connectivity%22%7C%22connectivity+planning%22+%22biodiversity%22%7C%22ecosystem+services%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22pollination%22%7C%22population+viability%22%7C%22metapopulation+dynamics%22+%22climate+adaptation%22%7C%22climate+corridors%22%7C%22climate+refugia%22%7C%22range+shifts%22%7C%22species+redistribution%22%7C%22landscape+permeability%22+%22livelihoods%22%7C%22human+wellbeing%22%7C%22nature%27s+contributions+to+people%22%7C%22disaster+risk+reduction%22+%22invasive+species%22%7C%22outbreeding+depression%22%7C%22inbreeding+depression%22%7C%22genetic+swamping%22%7C%22zoonotic+disease%22%7C%22disease+spread%22%7C%22pathogen+transmission%22%7C%22wildlife+disease%22%7C%22human+wildlife+conflict%22%7C%22crop+damage%22%7C%22livestock+depredation%22%7C%22maladaptive+restoration%22%7C%22assisted+migration%22%7C%22climate+mismatch%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22systematic+review%22%7C%22review%22%7C%22meta+analysis%22%7C%22literature+review%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","","… evaluating ecological corridors, key green infrastructure nodes and corridors were 17 … corridors to support biodiversity, climate adaptation, and the overall well-being of 20 …","Query date: 2026-01-22 12:33:10",NA
"Book","P Kuruppu Wickramasinghe Mudiyanselage","Reconciling Biodiversity Conservation and Climate Adaptation within the European Union: A legal examination of integrating climate change adaptation into EU …","","erepo.uef.fi","","https://erepo.uef.fi/bitstreams/3c541f19-1af1-437b-b547-02c75cbd9063/download","https://erepo.uef.fi/bitstreams/3c541f19-1af1-437b-b547-02c75cbd9063/download","https://scholar.google.com/scholar?q=related:kC90vOLtJy8J:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22habitat+connectivity%22%7C%22landscape+connectivity%22%7C%22conservation+corridors%22%7C%22ecological+corridors%22%7C%22functional+connectivity%22%7C%22connectivity+planning%22+%22biodiversity%22%7C%22ecosystem+services%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22pollination%22%7C%22population+viability%22%7C%22metapopulation+dynamics%22+%22climate+adaptation%22%7C%22climate+corridors%22%7C%22climate+refugia%22%7C%22range+shifts%22%7C%22species+redistribution%22%7C%22landscape+permeability%22+%22livelihoods%22%7C%22human+wellbeing%22%7C%22nature%27s+contributions+to+people%22%7C%22disaster+risk+reduction%22+%22invasive+species%22%7C%22outbreeding+depression%22%7C%22inbreeding+depression%22%7C%22genetic+swamping%22%7C%22zoonotic+disease%22%7C%22disease+spread%22%7C%22pathogen+transmission%22%7C%22wildlife+disease%22%7C%22human+wildlife+conflict%22%7C%22crop+damage%22%7C%22livestock+depredation%22%7C%22maladaptive+restoration%22%7C%22assisted+migration%22%7C%22climate+mismatch%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22systematic+review%22%7C%22review%22%7C%22meta+analysis%22%7C%22literature+review%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2025","… The thesis end on a note of how climate and ecological systems are related and calls for utilization of forward-thinking approach in biodiversity conservation. Through that the EU …","Query date: 2026-01-22 12:33:10","PDF"
"Article","S Rakholia and R Yosef and N Yadav and L Karimloo and M Pleitner and {...}","TreeGrid: A Spatial Planning Tool Integrating Tree Species Traits for Biodiversity Enhancement in Urban Landscapes","Animals","mdpi.com","","https://www.mdpi.com/2076-2615/15/13/1844","https://www.mdpi.com/2076-2615/15/13/1844","https://scholar.google.com/scholar?q=related:e0O_f5DHeIcJ:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22habitat+connectivity%22%7C%22landscape+connectivity%22%7C%22conservation+corridors%22%7C%22ecological+corridors%22%7C%22functional+connectivity%22%7C%22connectivity+planning%22+%22biodiversity%22%7C%22ecosystem+services%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22pollination%22%7C%22population+viability%22%7C%22metapopulation+dynamics%22+%22climate+adaptation%22%7C%22climate+corridors%22%7C%22climate+refugia%22%7C%22range+shifts%22%7C%22species+redistribution%22%7C%22landscape+permeability%22+%22livelihoods%22%7C%22human+wellbeing%22%7C%22nature%27s+contributions+to+people%22%7C%22disaster+risk+reduction%22+%22invasive+species%22%7C%22outbreeding+depression%22%7C%22inbreeding+depression%22%7C%22genetic+swamping%22%7C%22zoonotic+disease%22%7C%22disease+spread%22%7C%22pathogen+transmission%22%7C%22wildlife+disease%22%7C%22human+wildlife+conflict%22%7C%22crop+damage%22%7C%22livestock+depredation%22%7C%22maladaptive+restoration%22%7C%22assisted+migration%22%7C%22climate+mismatch%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22systematic+review%22%7C%22review%22%7C%22meta+analysis%22%7C%22literature+review%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2025","… biodiversity planning and restoration efforts in the region. Building upon recent advances in urban biodiversity planning, ecological connectivity modeling, and climate adaptation …","1 cites: https://scholar.google.com/scholar?cites=9761771615758009211\&as_sdt=2005\&sciodt=2007\&hl=en","HTML"
